source_group,source_name,source_url,source_year,record_no,date_text,location_text,category_text,body_text,confirmed_date,raw_html_file,parse_note
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,51,9月24日(水曜日) 午後6時30分頃,千歳市美笛の国道276号から道道支笏湖線（78号線）へ約300メートル進んだ付近,目撃,9月24日(水曜日) 午後6時30分頃、千歳市美笛の国道276号から道道支笏湖線（78号線）へ約300メートル進んだ付近で東から西へ横断するクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by directional movement before bear sighting phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,50,9月20日(土曜日) 午後3時15分頃,千歳市幌美内の国道453号丸駒橋付近,目撃,9月20日(土曜日) 午後3時15分頃、千歳市幌美内の国道453号丸駒橋付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,49,9月15日(月曜日) 午前1時00分頃,千歳市若草1丁目の真町泉沢大通の向陽台入口バス停から北東へ約200メートル進んだ付近,目撃,9月15日(月曜日) 午前1時00分頃、千歳市若草1丁目の真町泉沢大通の向陽台入口バス停から北東へ約200メートル進んだ付近で南から北へ横断するクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by directional movement before bear sighting phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,48,8月22日（金曜日）午後6時00分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から千歳市街地方面へ約200メートル進んだ付近,目撃,8月22日（金曜日）午後6時00分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から千歳市街地方面へ約200メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,47,8月20日(水曜日) 午前11時00分頃,千歳市美々の美々公園の山林,目撃,8月20日(水曜日) 午前11時00分頃、千歳市美々の美々公園の山林でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,46,8月16日(土曜日)午前5時10分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号付近,目撃,8月16日(土曜日)午前5時10分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号付近で北から南へ横断するクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by directional movement before bear sighting phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,45,8月7日(木曜日) 午後3時20分頃,千歳市平和の道道泉沢新千歳空港線の新千歳空港インターチェンジから東へ約1.3キロメートル進んだ付近,目撃,8月7日(木曜日) 午後3時20分頃、千歳市平和の道道泉沢新千歳空港線の新千歳空港インターチェンジから東へ約1.3キロメートル進んだ付近で南から北へ横断するクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by directional movement before bear sighting phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,44,8月6日(水曜日) 午後1時30分頃,千歳市平和の道道泉沢新千歳空港線の新千歳空港インターチェンジから東へ約900メートル進んだ付近,目撃,8月6日(水曜日) 午後1時30分頃、千歳市平和の道道泉沢新千歳空港線の新千歳空港インターチェンジから東へ約900メートル進んだ付近で北から南へ横断するクマの目撃情報がありました。十分ご注意ください,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by directional movement before bear sighting phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,43,7月30日(水曜日) 午前6時50分頃,千歳市幌美内のポロピナイ展望台付近,目撃,7月30日(水曜日) 午前6時50分頃、千歳市幌美内のポロピナイ展望台付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,42,7月30日(水曜日)午前11時05分頃,千歳市蘭越のノースカントリーゴルフクラブ,目撃,7月30日(水曜日)午前11時05分頃、千歳市蘭越のノースカントリーゴルフクラブでクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,41,7月29日(火曜日) 午後2時10分頃,千歳市蘭越のノースカントリーゴルフクラブ,目撃,7月29日(火曜日) 午後2時10分頃、千歳市蘭越のノースカントリーゴルフクラブでクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,40,7月28日(月曜日)午前9時30分頃,千歳市協和の道道舞鶴追分線（226号線）の第一近唐橋から北西に約1.3キロメートル進んだ付近の畑,足跡,7月28日(月曜日)午前9時30分頃、千歳市協和の道道舞鶴追分線（226号線）の第一近唐橋から北西に約1.3キロメートル進んだ付近の畑でクマの足跡の発見情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,39,7月26日(土曜日)午前7時30分頃,千歳市協和の道道舞鶴追分線（226号線）の第一近唐橋から北西に約1.3キロメートル進んだ付近の畑,足跡,7月26日(土曜日)午前7時30分頃、千歳市協和の道道舞鶴追分線（226号線）の第一近唐橋から北西に約1.3キロメートル進んだ付近の畑でクマの足跡の発見情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,38,7月26日(土曜日)午前1時30分頃,千歳市福住4丁目の泉沢学園通,目撃,7月26日(土曜日)午前1時30分頃、千歳市福住4丁目の泉沢学園通でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,37,7月24日(木曜日) 午後3時25分頃,千歳市幌美内のポロピナイ展望台から西へ約700メートル進んだ付近,目撃,7月24日(木曜日) 午後3時25分頃、千歳市幌美内のポロピナイ展望台から西へ約700メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,36,7月23日(水曜日) 午後4時40分頃,千歳市幌美内のポロピナイ展望台付近,目撃,7月23日(水曜日) 午後4時40分頃、千歳市幌美内のポロピナイ展望台付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,35,7月18日(金曜日) 午前8時50分頃,千歳市蘭越の第一烏柵舞橋付近,目撃,7月18日(金曜日) 午前8時50分頃、千歳市蘭越の第一烏柵舞橋付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,34,7月12日(土曜日) 午前8時45分頃,千歳市美々の国道36号と道道早来千歳線（258号線）の交差点付近,目撃,7月12日(土曜日) 午前8時45分頃、千歳市美々の国道36号と道道早来千歳線（258号線）の交差点付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,33,7月8日(火曜日) 午前6時45分頃,千歳市蘭越のノースカントリーゴルフクラブ西側の山林,目撃,7月8日(火曜日) 午前6時45分頃、千歳市蘭越のノースカントリーゴルフクラブ西側の山林でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,32,7月3日(木曜日)午前8時20分頃,千歳市平和の道道泉沢新千歳空港線（1091号線）の新千歳空港インターチェンジから東へ約2キロメートル進んだ付近,目撃,7月3日(木曜日)午前8時20分頃、千歳市平和の道道泉沢新千歳空港線（1091号線）の新千歳空港インターチェンジから東へ約2キロメートル進んだ付近で南から北に横断するクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by directional movement before bear sighting phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,31,7月2日(水曜日)午後3時57分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から南へ約300メートル進んだ付近,目撃,7月2日(水曜日)午後3時57分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から南へ約300メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,30,7月2日(水曜日)午前9時05分頃,千歳市水明郷の道道支笏湖公園線（16号線）の第一発電所バス停から千歳市街地方向へ約400メートル進んだ付近,目撃,7月2日(水曜日)午前9時05分頃、千歳市水明郷の道道支笏湖公園線（16号線）の第一発電所バス停から千歳市街地方向へ約400メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,29,6月28日(土曜日) 午前7時15分頃,千歳市柏台の鉄北通用水橋から南東へ約300メートル進んだ付近,目撃,6月28日(土曜日) 午前7時15分頃、千歳市柏台の鉄北通用水橋から南東へ約300メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
